ticker,date_bulletin,cours,per,rendement,variation_annee,dividende_montant,dividende_date
CIEC,20251231,2360.0,13.08,6.71,7.52,158.4,31-juil.-25
SDCC,20251231,5800.0,13.19,6.07,2.02,352.0,30-sept.-25
NTLC,20260130,11000.0,13.38,6.56,3.29,721.6,18-août-25
PALC,20260130,8205.0,8.0,5.5,1.3,451.45,10-sept.-25
SPHC,20260130,7600.0,10.34,4.26,-3.8,323.84,17-juil.-25
SMBC,20260130,11010.0,9.87,5.59,15.89,616.0,15-sept.-25
TTLC,20260130,2350.0,15.78,8.33,0.64,195.67,3-sept.-25
TTLS,20260130,2600.0,11.86,8.55,4.0,222.4,11-juil.-25
ECOC,20260130,17005.0,16.29,4.16,6.28,707.52,30-mai-25
SGBC,20260130,31000.0,9.53,5.31,3.7,1645.78,5-août-25
SIBC,20260130,6300.0,12.54,5.24,9.57,330.0,31-juil.-25
ONTBF,20260130,2700.0,8.92,7.02,8.65,189.53,21-juil.-25
ORAC,20260130,14490.0,13.8,4.55,1.68,660.0,4-juin-25
SNTS,20260130,26950.0,6.85,6.14,3.18,1655.0,22-mai-25
SCRC,20260130,1225.0,9.27,3.31,15.57,40.5,20-août-21
SICC,20260130,3810.0,118.78,,15.45,1919.0,25-sept.-00
SLBC,20260130,28000.0,21.47,3.83,-3.11,1073.6,29-juil.-25
SOGC,20260130,7960.0,13.12,6.63,0.76,528.0,15-juil.-25
STBC,20260130,21990.0,8.83,9.53,11.17,2096.0,29-août-25
UNLC,20260130,46400.0,665.45,,35.57,1233.0,9-juil.-12
ABJC,20260130,3000.0,21.61,6.87,3.45,206.2,30-sept.-24
BNBC,20260130,1400.0,,10.71,-0.71,150.0,24-juil.-23
CFAC,20260130,1500.0,57.97,0.47,4.9,7.04,19-août-25
LNBB,20260130,3940.0,10.98,6.99,-8.27,275.5,31-juil.-25
NEIC,20260130,1205.0,,6.79,0.42,81.78,25-juin-24
PRSC,20260130,4410.0,19.24,4.13,13.81,182.16,30-sept.-25
UNXC,20260130,1600.0,,3.8,14.29,60.75,29-juil.-22
SHEC,20260130,1665.0,19.59,4.52,15.22,75.29,22-oct.-25
BICB,20260130,4900.0,9.33,5.2,-1.51,254.6,15-sept.-25
BICC,20260130,19200.0,12.2,4.33,-1.26,830.72,23-mai-25
BOAB,20260130,6895.0,14.23,6.79,17.86,468.0,3-juin-25
BOABF,20260130,4615.0,9.06,9.27,23.07,428.0,22-avr.-25
BOAC,20260130,7200.0,8.99,6.51,0.28,469.0,20-mai-25
BOAM,20260130,4395.0,13.22,5.4,9.88,237.15,3-juin-25
BOAN,20260130,2625.0,10.92,7.97,0.57,209.25,3-juin-25
BOAS,20260130,5750.0,10.36,6.09,9.73,350.0,2-juin-25
CBIBF,20260130,11900.0,7.94,4.66,10.39,555.0,7-juil.-25
ETIT,20260130,24.0,1.45,2.52,4.35,0.6,8-juin-23
NSBC,20260130,12395.0,8.04,5.39,8.3,668.15,9-juil.-25
ORGT,20260130,2800.0,,2.13,16.67,59.52,17-juil.-20
SAFC,20260130,3940.0,,,19.21,23.04,29-juil.-11
CABC,20260130,2925.0,14.14,3.85,23.94,112.72,2-juin-25
FTSC,20260130,2155.0,1.63,80.12,-2.93,1726.56,30-sept.-25
