ticker,date_bulletin,volume_echange,valeur_echangee
BOAS,2019-05-31,3738.0,5814880.0
CBIBF,2019-05-31,415.0,3173475.0
ECOC,2019-05-31,2168.0,6936600.0
ETIT,2019-05-31,452.0,8136.0
NSBC,2019-05-31,116.0,434875.0
ORGT,2019-05-31,423.0,1733055.0
SGBC,2019-05-31,82.0,698100.0
SIBC,2019-05-31,1288.0,3674190.0
SDSC,2019-05-31,2760.0,5108650.0
PALC,2019-05-31,73.0,90885.0
SCRC,2019-05-31,133.0,108340.0
SOGC,2019-05-31,579.0,1158000.0
ABJC,2019-05-31,27.0,37950.0
BNBC,2019-05-31,10.0,18490.0
CFAC,2019-05-31,3.0,1650.0
PRSC,2019-05-31,1.0,119000.0
SHEC,2019-05-31,68.0,63155.0
TTLC,2019-05-31,173.0,247390.0
TTLS,2019-05-31,1.0,1445.0
STAC,2019-05-31,1303.0,234540.0
CABC,2019-06-28,54.0,51300.0
FTSC,2019-06-28,37.0,51740.0
NEIC,2019-06-28,230.0,67850.0
NTLC,2019-06-28,95.0,68350.0
SEMC,2019-06-28,622.0,133730.0
SIVC,2019-06-28,15.0,6150.0
SLBC,2019-06-28,72.0,2322000.0
SMBC,2019-06-28,67.0,285085.0
UNXC,2019-06-28,512.0,1202230.0
CIEC,2019-06-28,2528.0,3379005.0
ONTBF,2019-06-28,19902.0,78963910.0
SDCC,2019-06-28,80.0,244000.0
SNTS,2019-06-28,57494.0,948665730.0
BICC,2019-06-28,150.0,675000.0
BOAB,2019-06-28,1905.0,6093200.0
BOABF,2019-06-28,153.0,604850.0
BOAC,2019-06-28,119.0,344700.0
BOAM,2019-06-28,1297.0,2505775.0
BOAN,2019-06-28,472.0,1620900.0
BOAS,2019-06-28,1178.0,1917765.0
CBIBF,2019-06-28,1599.0,12935230.0
ECOC,2019-06-28,1545.0,5022245.0
ETIT,2019-06-28,19148.0,324933.0
NSBC,2019-06-28,174.0,602900.0
SGBC,2019-06-28,666.0,5951450.0
SIBC,2019-06-28,2982.0,8296670.0
SDSC,2019-06-28,4772.0,6903540.0
PALC,2019-06-28,158.0,181410.0
SCRC,2019-06-28,204.0,150960.0
